departamento,municipio,poblacion,Fallecidos,Sintomas,Muestras,Vacunados
ALTA VERAPAZ,CAHABON,69107,3,50,148,1318
ALTA VERAPAZ,CHAHAL,28890,3,111,129,470
ALTA VERAPAZ,CHISEC,104428,10,75,203,645
ALTA VERAPAZ,COBAN,224109,38,1136,2909,5385
ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,76047,7,184,264,910
ALTA VERAPAZ,LA TINTA,44819,5,36,102,775
ALTA VERAPAZ,LANQUIN,26146,2,12,72,425
ALTA VERAPAZ,PANZOS,79777,2,59,112,797
ALTA VERAPAZ,RAXRUHA,39350,2,49,93,389
ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,79308,8,94,353,1355
ALTA VERAPAZ,SAN JUAN CHAMELCO,60355,6,184,337,1048
ALTA VERAPAZ,SAN PEDRO CARCHA,248880,13,342,801,2252
ALTA VERAPAZ,SANTA CRUZ VERAPAZ,34981,7,142,267,785
ALTA VERAPAZ,SENAHU,97296,2,31,84,858
ALTA VERAPAZ,TACTIC,41224,2,96,305,922
ALTA VERAPAZ,TAMAHU,23858,0,23,81,369
ALTA VERAPAZ,TUCURU,50093,1,21,55,632
