departamento,municipio,poblacion,Fallecidos,Sintomas,Muestras,Vacunados
GUATEMALA,AMATITLAN,147604,118,1520,2260,4833
GUATEMALA,CHINAUTLA,121721,69,2249,3029,2841
GUATEMALA,CHUARRANCHO,17957,4,82,111,225
GUATEMALA,FRAIJANES,61664,28,1209,2248,3025
GUATEMALA,GUATEMALA,1205668,2182,32745,62708,100460
GUATEMALA,MIXCO,494561,616,12600,18582,29331
GUATEMALA,PALENCIA,73811,21,1011,1290,1453
GUATEMALA,SAN JOSE DEL GOLFO,8317,2,140,195,241
GUATEMALA,SAN JOSE PINULA,87912,58,1641,3101,3167
GUATEMALA,SAN JUAN SACATEPEQUEZ,276836,92,1909,2824,3073
GUATEMALA,SAN MIGUEL PETAPA,145417,125,2908,4385,4096
GUATEMALA,SAN PEDRO AYAMPUC,65594,24,863,1123,960
GUATEMALA,SAN PEDRO SACATEPEQUEZ,54623,27,861,1038,1233
GUATEMALA,SAN RAYMUNDO,38386,11,300,429,666
GUATEMALA,SANTA CATARINA PINULA,86150,66,2883,4077,3514
GUATEMALA,VILLA CANALES,165026,84,1587,2780,3300
GUATEMALA,VILLA NUEVA,464528,418,6914,11493,11516
