departamento,municipio,poblacion,Fallecidos,Sintomas,Muestras,Vacunados
PETEN,DOLORES,29659,9,120,203,406
PETEN,EL CHAL,15225,5,58,79,174
PETEN,FLORES,43067,16,665,973,1070
PETEN,LA LIBERTAD,83375,22,339,464,711
PETEN,LAS CRUCES,37915,9,155,184,484
PETEN,MELCHOR DE MENCOS,30017,7,174,204,297
PETEN,POPTUN,66883,18,391,468,1538
PETEN,SAN ANDRES,34823,3,158,238,375
PETEN,SAN BENITO,52439,54,1002,1462,1517
PETEN,SAN FRANCISCO,16339,1,84,118,273
PETEN,SAN JOSE,7103,5,62,94,155
PETEN,SAN LUIS,76128,18,121,165,598
PETEN,SANTA ANA,23499,7,105,145,279
PETEN,SAYAXCHE,97003,18,267,385,1482
