departamento,municipio,poblacion,Fallecidos,Sintomas,Muestras,Vacunados
QUETZALTENANGO,ALMOLONGA,16679,11,29,121,215
QUETZALTENANGO,CABRICAN,27307,6,133,184,860
QUETZALTENANGO,CAJOLA,18896,5,40,79,254
QUETZALTENANGO,CANTEL,45229,21,362,672,783
QUETZALTENANGO,COATEPEQUE,117579,85,909,2568,4504
QUETZALTENANGO,COLOMBA,55290,24,192,293,1185
QUETZALTENANGO,CONCEPCION CHIQUIRICHAPA,20245,8,38,76,422
QUETZALTENANGO,EL PALMAR,30973,9,94,184,593
QUETZALTENANGO,FLORES COSTA CUCA,23851,9,80,210,490
QUETZALTENANGO,GENOVA,45162,10,162,280,451
QUETZALTENANGO,HUITAN,14522,3,33,54,150
QUETZALTENANGO,LA ESPERANZA,24199,27,223,661,1510
QUETZALTENANGO,OLINTEPEQUE,38219,13,257,552,931
QUETZALTENANGO,PALESTINA DE LOS ALTOS,20299,5,75,115,353
QUETZALTENANGO,QUETZALTENANGO,196867,336,2403,11077,16644
QUETZALTENANGO,SALCAJA,20851,11,518,896,2160
QUETZALTENANGO,SAN CARLOS SIJA,34866,8,156,267,1341
QUETZALTENANGO,SAN FRANCISCO LA UNION,9361,4,7,16,160
QUETZALTENANGO,SAN JUAN OSTUNCALCO,60791,19,203,423,1187
QUETZALTENANGO,SAN MARTIN SACATEPEQUEZ,32771,2,22,61,202
QUETZALTENANGO,SAN MATEO,8658,12,186,324,384
QUETZALTENANGO,SAN MIGUEL SIGÜILA,9607,0,4,22,76
QUETZALTENANGO,SIBILIA,8766,2,21,110,637
QUETZALTENANGO,ZUNIL,15414,3,37,152,164
