departamento,municipio,poblacion,Fallecidos,Sintomas,Muestras,Vacunados
SOLOLA,CONCEPCION,7105,0,2,4,33
SOLOLA,NAHUALA,91523,17,182,287,692
SOLOLA,PANAJACHEL,15840,21,423,534,560
SOLOLA,SAN ANDRES SEMETABAJ,14640,9,84,109,261
SOLOLA,SAN ANTONIO PALOPO,15639,2,13,25,109
SOLOLA,SAN JOSE CHACAYA,5128,6,34,45,96
SOLOLA,SAN JUAN LA LAGUNA,13123,2,71,97,301
SOLOLA,SAN LUCAS TOLIMAN,31581,6,114,175,771
SOLOLA,SAN MARCOS LA LAGUNA,2911,1,3,6,46
SOLOLA,SAN PABLO LA LAGUNA,7950,0,4,8,85
SOLOLA,SAN PEDRO LA LAGUNA,11600,3,53,86,425
SOLOLA,SANTA CATARINA IXTAHUACAN,60200,4,84,131,396
SOLOLA,SANTA CATARINA PALOPO,4840,0,10,12,39
SOLOLA,SANTA CLARA LA LAGUNA,10200,2,21,36,133
SOLOLA,SANTA CRUZ LA LAGUNA,7817,0,10,12,53
SOLOLA,SANTA LUCIA UTATLAN,21695,9,150,185,474
SOLOLA,SANTA MARIA VISITACION,2563,1,6,9,113
SOLOLA,SANTIAGO ATITLAN,44025,10,118,190,411
SOLOLA,SOLOLA,98886,42,744,1111,1776
